Site exception list for bias correction
Version 2015 October 30
Number of sites = 32
=======================================

Made by Irina Djalalova, Jim Wilczak, Dave Allured.

This file sets negative and positive thresholds
for bias values (Obs - Prediction).

The thresholds are used to reject individual analogs for
individual sites.  Analogs OUTSIDE either threshold will
be rejected.

The filter will apply to all computed single analogs
in all bias correction methods.

  Site ID   Latitude   Longitude   Low bias threshold   High bias threshold
---------   --------   ---------   ------------------   -------------------
000041302    47.6094    -65.6333        -60                60
000065801    49.8833    -81.5667        -60                60
000070203    49.8422    -99.9189        -60                60
000090222    51.0814   -114.1403        -60                60
000090402    50.0492   -110.6814        -60                60
080770017    39.0636   -108.5611        -60                60
160010010    43.7444   -116.2389        -60                60
160050015    42.8767   -112.4603        -60                60
160590004    45.1706   -113.8922        -60                60
191530030    41.6031    -93.6433        -60                60
191770006    40.6933    -92.0061        -60                60
201950001    38.7703    -99.7636        -60                60
211451024    37.0581    -88.5725        -60                60
261530001    46.2889    -85.9503        -60                60
270317810    47.9719    -89.6906        -60                60
270750005    47.9464    -91.4953        -60                60
270834210    44.4572    -95.8350        -60                60
280490010    32.3883    -90.1406        -60                60
360652001    43.0994    -75.2250        -60                60
361010003    42.0972    -77.2103        -60                60
380130004    48.6419   -102.4022        -60                60
400430860    36.1589    -98.9353        -60                60
460330132    43.5575   -103.4836        -60                60
480430101    29.3025   -103.1780        -60                60
482730314    27.4269    -97.2986        -60                60
483230004    28.7019   -100.4508        -60                60
483750320    35.2006   -101.9083        -60                60
484790313    27.5994    -99.5333        -60                60
510870014    37.5583    -77.4003        -60                60
550410007    45.5639    -88.8100        -60                60
551198001    45.2039    -90.6000        -60                60
060431001    37.7486   -119.5870        -60                60
